stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Elec2,8,0,44712,0.4215302976118172,0.2436897983814723,0.17784049923034487,141,4450.536628708978
Elec2,8,1,44712,0.5711307751688423,0.24324404227929067,0.32788673288955156,277,7588.3421921881045
Elec2,8,2,44712,0.40678817290478236,0.24346238825488387,0.16332578464989853,427,4064.2074179995434
Elec2,8,3,44712,0.42241300688235833,0.24356014127157175,0.1788528656107865,122,4449.426094954002
Elec2,8,4,44712,0.422698945613907,0.245025206595144,0.177673739018763,134,4366.976478761722
Elec2,8,5,44712,0.4210388528929953,0.2436097327720254,0.1774291201209699,318,4347.193646354629
Elec2,8,6,44712,0.4089471200383194,0.2437511728177708,0.16519594722054853,159,4172.202972685941
Elec2,8,7,44712,0.42174380766364084,0.2432679840990461,0.17847582356459474,137,4484.359082673539
Elec2,8,8,44712,0.4158222724638752,0.24323478150743155,0.17258749095644363,313,4268.04431446452
Elec2,8,9,44712,0.26944176207517173,0.24405457347251666,0.025387188602655028,381,557.3449039024869
Elec2,8,10,44712,0.42167074589471604,0.24396702292833997,0.17770372296637607,240,4424.115939798884
Elec2,8,11,44712,0.41763136717683796,0.24339317413678832,0.1742381930400497,237,4347.736049599141
Elec2,8,12,44712,0.4207178736840636,0.2434104035087028,0.17730747017536075,374,4359.625319037035
Elec2,8,13,44712,0.5077134194022118,0.24447889961474423,0.26323451978746754,325,5869.740843718177
Elec2,8,14,44712,0.5697491813902363,0.24332093717502104,0.3264282442152153,384,7523.05394068077
Elec2,8,15,44712,0.4219312063865435,0.24351912315479896,0.17841208323174448,162,4511.36574068802
Elec2,8,16,44712,0.391435743759578,0.24402776947297794,0.14740797428660002,399,3213.7717425005703
Elec2,8,17,44712,0.5725348029564205,0.2434883949499358,0.32904640800648455,225,7601.595598283505
Elec2,8,18,44712,0.5690412469207042,0.2439172813628418,0.3251239655578624,252,7453.164750423587
Elec2,8,19,44712,0.403329883422634,0.24436607756000137,0.15896380586263267,347,3986.941729559942
Elec2,16,0,44712,0.4069909758088508,0.24396655121951774,0.16302442458933308,166,4103.030043004568
Elec2,16,1,44712,0.5407793961695169,0.24286605502940453,0.2979133411401124,374,6861.445329040916
Elec2,16,2,44712,0.421184106351336,0.24364132475291642,0.17754278159841955,162,4366.737451702344
Elec2,16,3,44712,0.5344517936330359,0.24358102402857038,0.29087076960446545,353,6636.531549934777
Elec2,16,4,44712,0.4158831717570677,0.24398170377456252,0.1719014679825051,164,4234.060786881808
Elec2,16,5,44712,0.5713243724345789,0.24325726029886569,0.3280671121357132,225,7534.576828943271
