dataset,architecture,seed,warmup_size,warmup_epochs,update_batch_size,online_learning_rate,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,mean_error_gap,brier_promotion_time,error_promotion_time,promotion_time,brier_final_log_evidence,error_final_log_evidence
CIFAR-10,ResNet-18,0,15000,4,128,0.005,35000,0.2318920305184297,0.2099821101272997,0.021909920391129954,0.03337142857142857,640,6228,6228,316.04700633070445,119.39468742997568
CIFAR-10,ResNet-18,1,15000,4,128,0.005,35000,0.24618147917263636,0.22770009746027436,0.01848138171236202,0.030085714285714285,6397,12604,12604,265.0830979141701,97.5171111453633
CIFAR-10,ResNet-18,2,15000,4,128,0.005,35000,0.26377371476688466,0.23147784794106108,0.03229586682582361,0.0494,484,4042,4042,610.3954372151984,235.29060870329994
CIFAR-10,ResNet-18,3,15000,4,128,0.005,35000,0.2438212883199796,0.21886619189821258,0.024955096421767055,0.03422857142857143,1222,3579,3579,386.48943339203976,119.68342898769725
CIFAR-10,ResNet-18,4,15000,4,128,0.005,35000,0.24540852568226335,0.22733085224729513,0.018077673434968206,0.03042857142857143,5755,2638,5755,265.1156248299572,98.68458343820429
